source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Vertical tail lamp.001,103,Vertical tail lamp.001,body,False,"[0.07000000029802322, 0.5, 0.25999999046325684]","[-2.5900000669062138, 1.25, -0.7199999690055847]","[-2.5200000666081905, 1.75, -0.4599999785423279]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel center cap,106,Wheel center cap,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[-1.7050000056624413, 0.6450000181794167, 0.8491999953985214]","[-1.535000003874302, 0.815000019967556, 1.0091999918222427]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel center cap.001,115,Wheel center cap.001,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[-1.7050000056624413, 0.6450000181794167, -1.0091999918222427]","[-1.535000003874302, 0.815000019967556, -0.8491999953985214]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel center cap.002,124,Wheel center cap.002,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[1.4749999418854713, 0.6450000181794167, 0.8491999953985214]","[1.6449999436736107, 0.815000019967556, 1.0091999918222427]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel center cap.003,133,Wheel center cap.003,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[1.4749999418854713, 0.6450000181794167, -1.0091999918222427]","[1.6449999436736107, 0.815000019967556, -0.8491999953985214]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug,26,Wheel lug,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.5190525576472282, 0.6980000287294388, 0.8940999861806631]","[-1.4809474423527718, 0.7420000284910202, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.001,27,Wheel lug.001,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.8121267706155777, 0.8940999861806631]","[-1.5638653710484505, 0.8561267703771591, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.002,28,Wheel lug.002,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.7685342580080032, 0.8940999861806631]","[-1.6980294659733772, 0.8125342577695847, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.003,29,Wheel lug.003,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.6274657994508743, 0.8940999861806631]","[-1.6980294659733772, 0.6714657992124557, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.004,30,Wheel lug.004,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.5838732272386551, 0.8940999861806631]","[-1.5638653710484505, 0.6278732270002365, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.005,31,Wheel lug.005,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.5190525576472282, 0.6980000287294388, -0.9440999869257212]","[-1.4809474423527718, 0.7420000284910202, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.006,32,Wheel lug.006,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.8121267706155777, -0.9440999869257212]","[-1.5638653710484505, 0.8561267703771591, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.007,33,Wheel lug.007,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.7685342580080032, -0.9440999869257212]","[-1.6980294659733772, 0.8125342577695847, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.008,34,Wheel lug.008,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.7361345812678337, 0.6274657994508743, -0.9440999869257212]","[-1.6980294659733772, 0.6714657992124557, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.009,35,Wheel lug.009,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[-1.601970486342907, 0.5838732272386551, -0.9440999869257212]","[-1.5638653710484505, 0.6278732270002365, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.010,36,Wheel lug.010,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.6509473994374275, 0.6980000287294388, 0.8940999861806631]","[1.689052514731884, 0.7420000284910202, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.011,37,Wheel lug.011,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.8121267706155777, 0.8940999861806631]","[1.6061345860362053, 0.8561267703771591, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.012,38,Wheel lug.012,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.7685342580080032, 0.8940999861806631]","[1.4719704911112785, 0.8125342577695847, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.013,39,Wheel lug.013,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.6274657994508743, 0.8940999861806631]","[1.4719704911112785, 0.6714657992124557, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.014,40,Wheel lug.014,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.5838732272386551, 0.8940999861806631]","[1.6061345860362053, 0.6278732270002365, 0.9440999869257212]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.015,41,Wheel lug.015,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.6509473994374275, 0.6980000287294388, -0.9440999869257212]","[1.689052514731884, 0.7420000284910202, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.016,42,Wheel lug.016,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.8121267706155777, -0.9440999869257212]","[1.6061345860362053, 0.8561267703771591, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.017,43,Wheel lug.017,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.7685342580080032, -0.9440999869257212]","[1.4719704911112785, 0.8125342577695847, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.018,44,Wheel lug.018,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.433865375816822, 0.6274657994508743, -0.9440999869257212]","[1.4719704911112785, 0.6714657992124557, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel lug.019,45,Wheel lug.019,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.5838732272386551, -0.9440999869257212]","[1.6061345860362053, 0.6278732270002365, -0.8940999861806631]",36,20
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel rim,13,Wheel rim,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[-1.8900000154972076, 0.45000001788139343, 0.8500000275671482]","[-1.3499999940395355, 0.9900000393390656, 0.9700000248849392]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel rim.001,15,Wheel rim.001,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[-1.8900000154972076, 0.45000001788139343, -0.9700000248849392]","[-1.3499999940395355, 0.9900000393390656, -0.8500000275671482]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel rim.002,17,Wheel rim.002,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[1.2799999415874481, 0.45000001788139343, 0.8500000275671482]","[1.8199999630451202, 0.9900000393390656, 0.9700000248849392]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel rim.003,19,Wheel rim.003,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[1.2799999415874481, 0.45000001788139343, -0.9700000248849392]","[1.8199999630451202, 0.9900000393390656, -0.8500000275671482]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke,107,Wheel spoke,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[-1.5179999992251396, 0.702000018209219, 0.8441999927163124]","[-1.4820000007748604, 0.7580000199377537, 1.0141999945044518]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.001,108,Wheel spoke.001,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.8059230409562588, 0.8711115375705833]","[-1.477387782652704, 0.8619230426847935, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.002,109,Wheel spoke.002,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[-1.7626121062855988, 0.8059230409562588, 0.8711115342353594]","[-1.5973877888102264, 0.8619230426847935, 0.9872884529854048]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.003,110,Wheel spoke.003,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[-1.7580000161928189, 0.702000018209219, 0.8441999911427028]","[-1.7220000028806675, 0.7580000199377537, 1.0141999960780612]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.004,111,Wheel spoke.004,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.7626121076747496, 0.5980769358575344, 0.8711115375705833]","[-1.5973877874210756, 0.6540769375860691, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.005,112,Wheel spoke.005,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.5980769358575344, 0.8711115375705833]","[-1.477387782652704, 0.6540769375860691, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.006,116,Wheel spoke.006,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[-1.5179999992251396, 0.702000018209219, -1.0141999945044518]","[-1.4820000007748604, 0.7580000199377537, -0.8441999927163124]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.007,117,Wheel spoke.007,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.8059230409562588, -0.9872884496501808]","[-1.477387782652704, 0.8619230426847935, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.008,118,Wheel spoke.008,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[-1.7626121062855988, 0.8059230409562588, -0.9872884529854048]","[-1.5973877888102264, 0.8619230426847935, -0.8711115342353594]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.009,119,Wheel spoke.009,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[-1.7580000161928189, 0.702000018209219, -1.0141999960780612]","[-1.7220000028806675, 0.7580000199377537, -0.8441999911427028]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.010,120,Wheel spoke.010,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.7626121076747496, 0.5980769358575344, -0.9872884496501808]","[-1.5973877874210756, 0.6540769375860691, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.011,121,Wheel spoke.011,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.5980769358575344, -0.9872884496501808]","[-1.477387782652704, 0.6540769375860691, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.012,125,Wheel spoke.012,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[1.661999948322773, 0.702000018209219, 0.8441999927163124]","[1.6979999467730522, 0.7580000199377537, 1.0141999945044518]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.013,126,Wheel spoke.013,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.8059230409562588, 0.8711115375705833]","[1.7026121648952086, 0.8619230426847935, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.014,127,Wheel spoke.014,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[1.4173878412623138, 0.8059230409562588, 0.8711115342353594]","[1.5826121587376862, 0.8619230426847935, 0.9872884529854048]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.015,128,Wheel spoke.015,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[1.4220000505643833, 0.702000018209219, 0.8441999911427028]","[1.4580000638765347, 0.7580000199377537, 1.0141999960780612]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.016,129,Wheel spoke.016,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.417387839873163, 0.5980769358575344, 0.8711115375705833]","[1.582612160126837, 0.6540769375860691, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.017,130,Wheel spoke.017,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.5980769358575344, 0.8711115375705833]","[1.7026121648952086, 0.6540769375860691, 0.9872884496501808]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.018,134,Wheel spoke.018,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[1.661999948322773, 0.702000018209219, -1.0141999945044518]","[1.6979999467730522, 0.7580000199377537, -0.8441999927163124]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.019,135,Wheel spoke.019,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.8059230409562588, -0.9872884496501808]","[1.7026121648952086, 0.8619230426847935, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.020,136,Wheel spoke.020,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[1.4173878412623138, 0.8059230409562588, -0.9872884529854048]","[1.5826121587376862, 0.8619230426847935, -0.8711115342353594]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.021,137,Wheel spoke.021,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[1.4220000505643833, 0.702000018209219, -1.0141999960780612]","[1.4580000638765347, 0.7580000199377537, -0.8441999911427028]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.022,138,Wheel spoke.022,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.417387839873163, 0.5980769358575344, -0.9872884496501808]","[1.582612160126837, 0.6540769375860691, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Wheel spoke.023,139,Wheel spoke.023,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.5980769358575344, -0.9872884496501808]","[1.7026121648952086, 0.6540769375860691, -0.8711115375705833]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Windshield,64,Windshield,body,False,"[0.29444322352081276, 0.6795244142622519, 1.3799999952316284]","[0.9527784120814515, 1.7602376975014424, -0.6899999976158142]","[1.2472216356022643, 2.4397621117636943, 0.6899999976158142]",24,12
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Brake disc,6,Brake disc,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[1.3699999451637268, 0.5400000214576721, -0.913400006480515]","[1.7299999594688416, 0.9000000357627869, -0.888400006107986]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Brake disc.001,0,Brake disc.001,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[-1.800000011920929, 0.5400000214576721, 0.888400006107986]","[-1.4399999976158142, 0.9000000357627869, 0.913400006480515]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Brake disc.002,2,Brake disc.002,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[-1.800000011920929, 0.5400000214576721, -0.913400006480515]","[-1.4399999976158142, 0.9000000357627869, -0.888400006107986]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Brake disc.003,4,Brake disc.003,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[1.3699999451637268, 0.5400000214576721, 0.888400006107986]","[1.7299999594688416, 0.9000000357627869, 0.913400006480515]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Label_Rear axle / 2WD,17,Label_Rear axle / 2WD,suspension,True,"[0.7536537945270538, 0.07970531094296118, 0.035402949242279935]","[-1.9251199960708618, 0.8458205896524807, 0.9207073842731973]","[-1.171466201543808, 0.9255259005954419, 0.9561103335154773]",11389,19108
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Rear axle housing,8,Rear axle housing,suspension,False,"[0.4000000059604645, 0.36000001430511475, 1.399999976158142]","[-1.8200000077486038, 0.48000001907348633, -0.699999988079071]","[-1.4200000017881393, 0.8400000333786011, 0.699999988079071]",24,12
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Rear axle shaft,9,Rear axle shaft,suspension,False,"[0.1099998950958252, 0.16360777616500854, 0.4434906244277954]","[-1.6749999523162842, 0.6081961393356323, 0.22375470399856567]","[-1.565000057220459, 0.7718039155006409, 0.6672453284263611]",143,240
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Rear axle shaft.001,10,Rear axle shaft.001,suspension,False,"[0.1100001335144043, 0.16360777616500854, 0.4434906244277954]","[-1.6750000715255737, 0.6081961393356323, -0.6672453284263611]","[-1.5649999380111694, 0.7718039155006409, -0.22375470399856567]",143,240
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Shock absorber,12,Shock absorber,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[-1.7236969338775057, 0.7038094261005106, 0.5650000050663948]","[-1.5163030756592375, 1.1961905500576315, 0.6750000044703484]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Shock absorber.001,13,Shock absorber.001,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[-1.7236969338775057, 0.7038094261005106, -0.6750000044703484]","[-1.5163030756592375, 1.1961905500576315, -0.5650000050663948]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Shock absorber.002,15,Shock absorber.002,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[1.44630302320715, 0.7038094261005106, 0.5650000050663948]","[1.6536968814254183, 1.1961905500576315, 0.6750000044703484]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Shock absorber.003,16,Shock absorber.003,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[1.44630302320715, 0.7038094261005106, -0.6750000044703484]","[1.6536968814254183, 1.1961905500576315, -0.5650000050663948]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Suspension control arm,11,Suspension control arm,suspension,False,"[0.20000000298023224, 0.14000000059604645, 1.2999999523162842]","[-1.7200000062584877, 0.48000001162290573, -0.6499999761581421]","[-1.5200000032782555, 0.6200000122189522, 0.6499999761581421]",24,12
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Suspension control arm.001,14,Suspension control arm.001,suspension,False,"[0.20000000298023224, 0.14000000059604645, 1.2999999523162842]","[1.449999950826168, 0.48000001162290573, -0.6499999761581421]","[1.6499999538064003, 0.6200000122189522, 0.6499999761581421]",24,12
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Wheel hub,1,Wheel hub,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[-1.6850000023841858, 0.6550000309944153, 0.8440999835729599]","[-1.5550000071525574, 0.7850000262260437, 0.9940999895334244]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Wheel hub.001,3,Wheel hub.001,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[-1.6850000023841858, 0.6550000309944153, -0.9940999895334244]","[-1.5550000071525574, 0.7850000262260437, -0.8440999835729599]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Wheel hub.002,5,Wheel hub.002,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[1.48499995470047, 0.6550000309944153, 0.8440999835729599]","[1.6149999499320984, 0.7850000262260437, 0.9940999895334244]",192,124
suspension,/home/ubuntu/ford-glb-suspension-test/parts_list.csv,Wheel hub.003,7,Wheel hub.003,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[1.48499995470047, 0.6550000309944153, -0.9940999895334244]","[1.6149999499320984, 0.7850000262260437, -0.8440999835729599]",192,124
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,4WD mount bolt,28,4WD mount bolt,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.07999999821186066]","[-0.5303108878433704, 0.6049999855458736, -0.5000000074505806]","[-0.46968911215662956, 0.6749999858438969, -0.42000000923871994]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,4WD mount bolt.001,27,4WD mount bolt.001,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.07999999821186066]","[-0.5303108878433704, 0.6049999855458736, 0.42000000923871994]","[-0.46968911215662956, 0.6749999858438969, 0.5000000074505806]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Cylinder head,1,Cylinder head,drivetrain,False,"[0.9599999785423279, 0.20000000298023224, 0.25999999046325684]","[0.5599999725818634, 1.4399999603629112, 0.14000001549720764]","[1.5199999511241913, 1.6399999633431435, 0.4000000059604645]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Cylinder head.001,2,Cylinder head.001,drivetrain,False,"[0.9599999785423279, 0.20000000298023224, 0.25999999046325684]","[0.5599999725818634, 1.4399999603629112, -0.4000000059604645]","[1.5199999511241913, 1.6399999633431435, -0.14000001549720764]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine block 4.0L V6,0,Engine block 4.0L V6,drivetrain,False,"[1.100000023841858, 0.8399999737739563, 0.7599999904632568]","[0.4999999403953552, 0.6800000369548798, -0.3799999952316284]","[1.5999999642372131, 1.520000010728836, 0.3799999952316284]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener,19,Engine fastener,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.4649999998509884, 0.4899999815970659]","[0.6103108711540699, 1.5350000001490116, 0.5499999802559614]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.001,20,Engine fastener.001,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.6650000475347042, 0.4899999815970659]","[0.6103108711540699, 1.7350000478327274, 0.5499999802559614]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.002,21,Engine fastener.002,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.4649999998509884, -0.5499999802559614]","[0.6103108711540699, 1.5350000001490116, -0.4899999815970659]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.003,22,Engine fastener.003,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.6650000475347042, -0.5499999802559614]","[0.6103108711540699, 1.7350000478327274, -0.4899999815970659]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.004,23,Engine fastener.004,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.4649999998509884, 0.4899999815970659]","[1.4503108449280262, 1.5350000001490116, 0.5499999802559614]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.005,24,Engine fastener.005,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.6650000475347042, 0.4899999815970659]","[1.4503108449280262, 1.7350000478327274, 0.5499999802559614]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.006,25,Engine fastener.006,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.4649999998509884, -0.5499999802559614]","[1.4503108449280262, 1.5350000001490116, -0.4899999815970659]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Engine fastener.007,26,Engine fastener.007,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.6650000475347042, -0.5499999802559614]","[1.4503108449280262, 1.7350000478327274, -0.4899999815970659]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Exhaust pipe,9,Exhaust pipe,drivetrain,False,"[2.635454297065735, 0.26529908180236816, 0.12000000476837158]","[-2.1263015270233154, 0.34102553129196167, 0.2800000011920929]","[0.5091527700424194, 0.6063246130943298, 0.4000000059604645]",407,720
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt,11,Frame mount bolt,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-1.9889711923897266, 0.5949999839067459, 0.690000019967556]","[-1.911028902977705, 0.6849999874830246, 0.7700000181794167]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.001,12,Frame mount bolt.001,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-1.9889711923897266, 0.5949999839067459, -0.7700000181794167]","[-1.911028902977705, 0.6849999874830246, -0.690000019967556]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.002,13,Frame mount bolt.002,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-0.8889711685478687, 0.5949999839067459, 0.690000019967556]","[-0.8110288791358471, 0.6849999874830246, 0.7700000181794167]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.003,14,Frame mount bolt.003,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-0.8889711685478687, 0.5949999839067459, -0.7700000181794167]","[-0.8110288791358471, 0.6849999874830246, -0.690000019967556]",36,20
