source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.001,80,Door handle.001,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[0.4949999824166298, 1.6049999948590994, -0.92259999550879]","[0.6649999842047691, 1.6549999956041574, -0.872599994763732]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.002,83,Door handle.002,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, 0.872599994763732]","[-0.16499999910593033, 1.6549999956041574, 0.92259999550879]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door handle.003,86,Door handle.003,body,False,"[0.17000000178813934, 0.05000000074505806, 0.05000000074505806]","[-0.33500000089406967, 1.6049999948590994, -0.92259999550879]","[-0.16499999910593033, 1.6549999956041574, -0.872599994763732]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding,76,Door lower protective molding,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, 0.862400010228157]","[0.8400000035762787, 1.1550000049173832, 0.9064000099897385]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.001,79,Door lower protective molding.001,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[0.1199999749660492, 1.08500000461936, -0.9064000099897385]","[0.8400000035762787, 1.1550000049173832, -0.862400010228157]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.002,82,Door lower protective molding.002,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, 0.862400010228157]","[0.010000020265579224, 1.1550000049173832, 0.9064000099897385]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Door lower protective molding.003,85,Door lower protective molding.003,body,False,"[0.7200000286102295, 0.07000000029802322, 0.04399999976158142]","[-0.7100000083446503, 1.08500000461936, -0.9064000099897385]","[0.010000020265579224, 1.1550000049173832, -0.862400010228157]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Ford oval badge,98,Ford oval badge,body,False,"[0.029999999329447746, 0.10999999940395355, 0.23999999463558197]","[2.5349999526515603, 1.4350000098347664, -0.11999999731779099]","[2.564999951981008, 1.54500000923872, 0.11999999731779099]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Frame left rail,5,Frame left rail,body,False,"[4.900000095367432, 0.18000000715255737, 0.15000000596046448]","[-2.450000047683716, 0.38999998569488525, 0.6550000160932541]","[2.450000047683716, 0.5699999928474426, 0.8050000220537186]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Frame right rail,6,Frame right rail,body,False,"[4.900000095367432, 0.18000000715255737, 0.15000000596046448]","[-2.450000047683716, 0.38999998569488525, -0.8050000220537186]","[2.450000047683716, 0.5699999928474426, -0.6550000160932541]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front CV joint,23,Front CV joint,body,False,"[0.15000000596046448, 0.15000000596046448, 0.11999999731779099]","[1.3950000256299973, 0.6249999850988388, 0.3172000087797642]","[1.5450000315904617, 0.7749999910593033, 0.43720000609755516]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front CV joint.001,25,Front CV joint.001,body,False,"[0.15000000596046448, 0.15000000596046448, 0.11999999731779099]","[1.3950000256299973, 0.6249999850988388, -0.43720000609755516]","[1.5450000315904617, 0.7749999910593033, -0.3172000087797642]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front fascia,57,Front fascia,body,False,"[0.3199999928474426, 0.8399999737739563, 1.7200000286102295]","[2.17999991774559, 0.7599999606609344, -0.8600000143051147]","[2.499999910593033, 1.5999999344348907, 0.8600000143051147]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front halfshaft,22,Front halfshaft,body,False,"[0.5829249620437622, 0.18441271781921387, 0.46381937712430954]","[0.9920909404754639, 0.5774067640304565, -0.03529994934797287]","[1.575015902519226, 0.7618194818496704, 0.42851942777633667]",275,480
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front halfshaft.001,24,Front halfshaft.001,body,False,"[0.5829249620437622, 0.18441277742385864, 0.46381938457489014]","[0.9920909404754639, 0.5774067044258118, -0.42851942777633667]","[1.575015902519226, 0.7618194818496704, 0.03529995679855347]",275,480
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front seat,47,Front seat,body,False,"[0.7200000286102295, 0.4399999976158142, 0.6000000238418579]","[-0.3100000135600567, 1.079999953508377, 0.09999999403953552]","[0.4100000150501728, 1.5199999511241913, 0.7000000178813934]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front seat back,48,Front seat back,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, 0.09999999403953552]","[0.17999999970197678, 1.9899999797344208, 0.7000000178813934]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front seat back.001,50,Front seat back.001,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, -0.7000000178813934]","[0.17999999970197678, 1.9899999797344208, -0.09999999403953552]",24,12
