system,node_count,bounds_min_m,bounds_max_m,dimensions_m
body,145,"[-3.299999952316284, 0.020000001415610313, -2.200000047683716]","[3.299999952316284, 3.2609664497655615, 2.200000047683716]","[6.599999904632568, 3.240966448349951, 4.400000095367432]"
drivetrain,32,"[-2.1263015270233154, 0.34102553129196167, -0.7700000181794167]","[2.020000047981739, 2.049999952316284, 1.0316712788852804]","[4.1463015750050545, 1.7089744210243225, 1.801671297064697]"
fuel,11,"[-1.7755365371704102, 0.3699999749660492, -0.763422966003418]","[1.300396203994751, 2.909339257868507, 1.565043784434724]","[3.075932741165161, 2.539339282902458, 2.328466750438142]"
steering,1,"[0.6499999761581421, 1.60999995470047, 0.337499993853271]","[1.0299999713897705, 1.9899999499320984, 0.36249999422580004]","[0.3799999952316284, 0.3799999952316284, 0.02500000037252903]"
suspension,18,"[-1.9251199960708618, 0.48000001162290573, -0.9940999895334244]","[1.7299999594688416, 1.1961905500576315, 0.9940999895334244]","[3.6551199555397034, 0.7161905384347258, 1.9881999790668488]"
transmission,6,"[-0.905655026435852, 0.4800000227987766, -0.6399999856948853]","[0.768049992620945, 1.3742596723201355, 1.0241591737128257]","[1.673705019056797, 0.8942596495213588, 1.664159159407711]"
wiring,13,"[-2.195000097155571, 0.58500000461936, -0.7442197799682617]","[1.8449999541044235, 2.0245843823660854, 0.963622342456667]","[4.0400000512599945, 1.4395843777467254, 1.7078421224249287]"
