source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
Wheel lug.019,126,Cylinder.031,body,False,"[0.03810511529445648, 0.04399999976158142, 0.05000000074505806]","[1.5680294707417488, 0.5838732272386551, -0.9440999869257212]","[1.6061345860362053, 0.6278732270002365, -0.8940999861806631]",36,20
Wheel rim,188,Cylinder,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[-1.8900000154972076, 0.45000001788139343, 0.8500000275671482]","[-1.3499999940395355, 0.9900000393390656, 0.9700000248849392]",192,124
Wheel rim.001,184,Cylinder.008,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[-1.8900000154972076, 0.45000001788139343, -0.9700000248849392]","[-1.3499999940395355, 0.9900000393390656, -0.8500000275671482]",192,124
Wheel rim.002,180,Cylinder.016,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[1.2799999415874481, 0.45000001788139343, 0.8500000275671482]","[1.8199999630451202, 0.9900000393390656, 0.9700000248849392]",192,124
Wheel rim.003,176,Cylinder.024,body,False,"[0.5400000214576721, 0.5400000214576721, 0.11999999731779099]","[1.2799999415874481, 0.45000001788139343, -0.9700000248849392]","[1.8199999630451202, 0.9900000393390656, -0.8500000275671482]",192,124
Wheel spoke,45,Cube.110,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[-1.5179999992251396, 0.702000018209219, 0.8441999927163124]","[-1.4820000007748604, 0.7580000199377537, 1.0141999945044518]",24,12
Wheel spoke.001,44,Cube.111,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.8059230409562588, 0.8711115375705833]","[-1.477387782652704, 0.8619230426847935, 0.9872884496501808]",24,12
Wheel spoke.002,43,Cube.112,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[-1.7626121062855988, 0.8059230409562588, 0.8711115342353594]","[-1.5973877888102264, 0.8619230426847935, 0.9872884529854048]",24,12
Wheel spoke.003,42,Cube.113,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[-1.7580000161928189, 0.702000018209219, 0.8441999911427028]","[-1.7220000028806675, 0.7580000199377537, 1.0141999960780612]",24,12
Wheel spoke.004,41,Cube.114,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.7626121076747496, 0.5980769358575344, 0.8711115375705833]","[-1.5973877874210756, 0.6540769375860691, 0.9872884496501808]",24,12
Wheel spoke.005,40,Cube.115,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.5980769358575344, 0.8711115375705833]","[-1.477387782652704, 0.6540769375860691, 0.9872884496501808]",24,12
Wheel spoke.006,36,Cube.116,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[-1.5179999992251396, 0.702000018209219, -1.0141999945044518]","[-1.4820000007748604, 0.7580000199377537, -0.8441999927163124]",24,12
Wheel spoke.007,35,Cube.117,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.8059230409562588, -0.9872884496501808]","[-1.477387782652704, 0.8619230426847935, -0.8711115375705833]",24,12
Wheel spoke.008,34,Cube.118,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[-1.7626121062855988, 0.8059230409562588, -0.9872884529854048]","[-1.5973877888102264, 0.8619230426847935, -0.8711115342353594]",24,12
Wheel spoke.009,33,Cube.119,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[-1.7580000161928189, 0.702000018209219, -1.0141999960780612]","[-1.7220000028806675, 0.7580000199377537, -0.8441999911427028]",24,12
Wheel spoke.010,32,Cube.120,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.7626121076747496, 0.5980769358575344, -0.9872884496501808]","[-1.5973877874210756, 0.6540769375860691, -0.8711115375705833]",24,12
Wheel spoke.011,31,Cube.121,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[-1.642612102906378, 0.5980769358575344, -0.9872884496501808]","[-1.477387782652704, 0.6540769375860691, -0.8711115375705833]",24,12
Wheel spoke.012,27,Cube.122,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[1.661999948322773, 0.702000018209219, 0.8441999927163124]","[1.6979999467730522, 0.7580000199377537, 1.0141999945044518]",24,12
Wheel spoke.013,26,Cube.123,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.8059230409562588, 0.8711115375705833]","[1.7026121648952086, 0.8619230426847935, 0.9872884496501808]",24,12
Wheel spoke.014,25,Cube.124,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[1.4173878412623138, 0.8059230409562588, 0.8711115342353594]","[1.5826121587376862, 0.8619230426847935, 0.9872884529854048]",24,12
Wheel spoke.015,24,Cube.125,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[1.4220000505643833, 0.702000018209219, 0.8441999911427028]","[1.4580000638765347, 0.7580000199377537, 1.0141999960780612]",24,12
Wheel spoke.016,23,Cube.126,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.417387839873163, 0.5980769358575344, 0.8711115375705833]","[1.582612160126837, 0.6540769375860691, 0.9872884496501808]",24,12
Wheel spoke.017,22,Cube.127,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.5980769358575344, 0.8711115375705833]","[1.7026121648952086, 0.6540769375860691, 0.9872884496501808]",24,12
Wheel spoke.018,18,Cube.128,body,False,"[0.035999998450279236, 0.0560000017285347, 0.17000000178813934]","[1.661999948322773, 0.702000018209219, -1.0141999945044518]","[1.6979999467730522, 0.7580000199377537, -0.8441999927163124]",24,12
Wheel spoke.019,17,Cube.129,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.8059230409562588, -0.9872884496501808]","[1.7026121648952086, 0.8619230426847935, -0.8711115375705833]",24,12
Wheel spoke.020,16,Cube.130,body,False,"[0.16522431747537247, 0.0560000017285347, 0.11617691875004543]","[1.4173878412623138, 0.8059230409562588, -0.9872884529854048]","[1.5826121587376862, 0.8619230426847935, -0.8711115342353594]",24,12
Wheel spoke.021,15,Cube.131,body,False,"[0.03600001331215141, 0.0560000017285347, 0.17000000493535838]","[1.4220000505643833, 0.702000018209219, -1.0141999960780612]","[1.4580000638765347, 0.7580000199377537, -0.8441999911427028]",24,12
Wheel spoke.022,14,Cube.132,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.417387839873163, 0.5980769358575344, -0.9872884496501808]","[1.582612160126837, 0.6540769375860691, -0.8711115375705833]",24,12
Wheel spoke.023,13,Cube.133,body,False,"[0.16522432025367406, 0.0560000017285347, 0.11617691207959746]","[1.5373878446415346, 0.5980769358575344, -0.9872884496501808]","[1.7026121648952086, 0.6540769375860691, -0.8711115375705833]",24,12
Windshield,88,Cube.074,body,False,"[0.29444322352081276, 0.6795244142622519, 1.3799999952316284]","[0.9527784120814515, 1.7602376975014424, -0.6899999976158142]","[1.2472216356022643, 2.4397621117636943, 0.6899999976158142]",24,12
4WD mount bolt,108,Cylinder.067,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.07999999821186066]","[-0.5303108878433704, 0.6049999855458736, -0.5000000074505806]","[-0.46968911215662956, 0.6749999858438969, -0.42000000923871994]",36,20
4WD mount bolt.001,109,Cylinder.066,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.07999999821186066]","[-0.5303108878433704, 0.6049999855458736, 0.42000000923871994]","[-0.46968911215662956, 0.6749999858438969, 0.5000000074505806]",36,20
Cylinder head,224,Cube.037,drivetrain,False,"[0.9599999785423279, 0.20000000298023224, 0.25999999046325684]","[0.5599999725818634, 1.4399999603629112, 0.14000001549720764]","[1.5199999511241913, 1.6399999633431435, 0.4000000059604645]",24,12
Cylinder head.001,222,Cube.039,drivetrain,False,"[0.9599999785423279, 0.20000000298023224, 0.25999999046325684]","[0.5599999725818634, 1.4399999603629112, -0.4000000059604645]","[1.5199999511241913, 1.6399999633431435, -0.14000001549720764]",24,12
Engine block 4.0L V6,225,Cube.036,drivetrain,False,"[1.100000023841858, 0.8399999737739563, 0.7599999904632568]","[0.4999999403953552, 0.6800000369548798, -0.3799999952316284]","[1.5999999642372131, 1.520000010728836, 0.3799999952316284]",24,12
Engine fastener,117,Cylinder.056,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.4649999998509884, 0.4899999815970659]","[0.6103108711540699, 1.5350000001490116, 0.5499999802559614]",36,20
Engine fastener.001,116,Cylinder.057,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.6650000475347042, 0.4899999815970659]","[0.6103108711540699, 1.7350000478327274, 0.5499999802559614]",36,20
Engine fastener.002,115,Cylinder.058,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.4649999998509884, -0.5499999802559614]","[0.6103108711540699, 1.5350000001490116, -0.4899999815970659]",36,20
Engine fastener.003,114,Cylinder.059,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[0.549689095467329, 1.6650000475347042, -0.5499999802559614]","[0.6103108711540699, 1.7350000478327274, -0.4899999815970659]",36,20
Engine fastener.004,113,Cylinder.060,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.4649999998509884, 0.4899999815970659]","[1.4503108449280262, 1.5350000001490116, 0.5499999802559614]",36,20
Engine fastener.005,112,Cylinder.061,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.6650000475347042, 0.4899999815970659]","[1.4503108449280262, 1.7350000478327274, 0.5499999802559614]",36,20
Engine fastener.006,111,Cylinder.062,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.4649999998509884, -0.5499999802559614]","[1.4503108449280262, 1.5350000001490116, -0.4899999815970659]",36,20
Engine fastener.007,110,Cylinder.063,drivetrain,False,"[0.060621775686740875, 0.07000000029802322, 0.05999999865889549]","[1.3896890692412853, 1.6650000475347042, -0.5499999802559614]","[1.4503108449280262, 1.7350000478327274, -0.4899999815970659]",36,20
Exhaust pipe,194,Exhaust pipe,drivetrain,False,"[2.635454297065735, 0.26529908180236816, 0.12000000476837158]","[-2.1263015270233154, 0.34102553129196167, 0.2800000011920929]","[0.5091527700424194, 0.6063246130943298, 0.4000000059604645]",407,720
Frame mount bolt,125,Cylinder.048,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-1.9889711923897266, 0.5949999839067459, 0.690000019967556]","[-1.911028902977705, 0.6849999874830246, 0.7700000181794167]",36,20
Frame mount bolt.001,124,Cylinder.049,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-1.9889711923897266, 0.5949999839067459, -0.7700000181794167]","[-1.911028902977705, 0.6849999874830246, -0.690000019967556]",36,20
Frame mount bolt.002,123,Cylinder.050,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-0.8889711685478687, 0.5949999839067459, 0.690000019967556]","[-0.8110288791358471, 0.6849999874830246, 0.7700000181794167]",36,20
Frame mount bolt.003,122,Cylinder.051,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[-0.8889711685478687, 0.5949999839067459, -0.7700000181794167]","[-0.8110288791358471, 0.6849999874830246, -0.690000019967556]",36,20
Frame mount bolt.004,121,Cylinder.052,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[0.3110288493335247, 0.5949999839067459, 0.690000019967556]","[0.38897113874554634, 0.6849999874830246, 0.7700000181794167]",36,20
Frame mount bolt.005,120,Cylinder.053,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[0.3110288493335247, 0.5949999839067459, -0.7700000181794167]","[0.38897113874554634, 0.6849999874830246, -0.690000019967556]",36,20
Frame mount bolt.006,119,Cylinder.054,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[1.5110288076102734, 0.5949999839067459, 0.690000019967556]","[1.588971097022295, 0.6849999874830246, 0.7700000181794167]",36,20
Frame mount bolt.007,118,Cylinder.055,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[1.5110288076102734, 0.5949999839067459, -0.7700000181794167]","[1.588971097022295, 0.6849999874830246, -0.690000019967556]",36,20
Front differential,162,Cube.063,drivetrain,False,"[0.4000000059604645, 0.3199999928474426, 0.9599999785423279]","[0.8199999779462814, 0.46000000834465027, -0.47999998927116394]","[1.219999983906746, 0.7800000011920929, 0.47999998927116394]",24,12
Front propeller shaft,201,Front propeller shaft,drivetrain,False,"[1.470326006412506, 0.47893524169921875, 0.1300000250339508]","[-0.6423644423484802, 0.5586961507797241, -0.0650000125169754]","[0.8279615640640259, 1.0376313924789429, 0.0650000125169754]",275,480
Intake manifold,215,Cube.042,drivetrain,False,"[0.8999999761581421, 0.25999999046325684, 0.47999998927116394]","[0.5699999928474426, 1.7899999618530273, -0.23999999463558197]","[1.4699999690055847, 2.049999952316284, 0.23999999463558197]",24,12
Label_4.0L V6 engine,10,Label_4.0L V6 engine,drivetrain,True,"[0.6562703847885132, 0.10349476287039727, 0.042985806266995996]","[0.720694899559021, 1.7227009603936367, 0.9206366674239347]","[1.3769652843475342, 1.826195723264034, 0.9636224736909307]",13025,21888
Label_Front differential,2,Label_Front differential,drivetrain,True,"[0.7354799807071686, 0.07712986387773979, 0.03151468025241311]","[0.6528649926185608, 0.8771298513577399, 0.9926445606963881]","[1.3883449733257294, 0.9542597152354797, 1.0241592409488012]",16046,26920
Label_Front propeller shaft,1,Label_Front propeller shaft,drivetrain,True,"[0.9220398962497711, 0.10024850184474743, 0.03902671818889236]","[-0.3368949666619301, 0.7940112110065465, 0.9926445606963881]","[0.585144929587841, 0.8942597128512939, 1.0316712788852804]",18904,31800
Lower radiator hose,216,Lower radiator hose,drivetrain,False,"[0.7898150682449341, 0.16483676433563232, 0.15953877940773964]","[1.169251799583435, 1.0571397542953491, -0.1649441123008728]","[1.9590668678283691, 1.2219765186309814, -0.0054053328931331635]",275,480
Propeller shaft,203,Propeller shaft,drivetrain,False,"[1.4038675129413605, 0.38052040338516235, 0.15000003576278687]","[-1.7889854907989502, 0.6492390036582947, -0.07500001788139343]","[-0.3851179778575897, 1.029759407043457, 0.07500001788139343]",275,480
Radiator,218,Cube.041,drivetrain,False,"[0.14000000059604645, 0.8399999737739563, 1.2999999523162842]","[1.8800000473856926, 1.0500000417232513, -0.6499999761581421]","[2.020000047981739, 1.8900000154972076, 0.6499999761581421]",24,12
Upper radiator hose,217,Upper radiator hose,drivetrain,False,"[0.8002508878707886, 0.253318190574646, 0.15953216701745987]","[1.1671650409698486, 1.7105255126953125, 0.005405344069004059]","[1.9674159288406372, 1.9638437032699585, 0.16493751108646393]",275,480
Fuel filler neck,191,Fuel filler neck,fuel,False,"[0.4554644823074341, 0.6026296615600586, 0.21620309352874756]","[-1.7755365371704102, 0.5805853605270386, -0.763422966003418]","[-1.320072054862976, 1.1832150220870972, -0.5472198724746704]",275,480
Fuel injector,212,Cylinder.035,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[0.7549999710172415, 1.6400000303983688, 0.24500001035630703]","[0.8049999717622995, 1.8000000268220901, 0.2950000111013651]",192,124
Fuel injector.001,211,Cylinder.036,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[0.9650000091642141, 1.6400000303983688, 0.24500001035630703]","[1.0150000099092722, 1.8000000268220901, 0.2950000111013651]",192,124
Fuel injector.002,210,Cylinder.037,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[1.1750000473111868, 1.6400000303983688, 0.24500001035630703]","[1.2250000480562449, 1.8000000268220901, 0.2950000111013651]",192,124
Fuel injector.003,208,Cylinder.038,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[0.7549999710172415, 1.6400000303983688, -0.2950000111013651]","[0.8049999717622995, 1.8000000268220901, -0.24500001035630703]",192,124
Fuel injector.004,207,Cylinder.039,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[0.9650000091642141, 1.6400000303983688, -0.2950000111013651]","[1.0150000099092722, 1.8000000268220901, -0.24500001035630703]",192,124
Fuel injector.005,206,Cylinder.040,fuel,False,"[0.05000000074505806, 0.1599999964237213, 0.05000000074505806]","[1.1750000473111868, 1.6400000303983688, -0.2950000111013651]","[1.2250000480562449, 1.8000000268220901, -0.24500001035630703]",192,124
Fuel rail,213,Fuel rail,fuel,False,"[0.600792407989502, 0.057546138763427734, 0.050000011920928955]","[0.699603796005249, 1.756226897239685, 0.24500000476837158]","[1.300396203994751, 1.8137730360031128, 0.29500001668930054]",143,240
Fuel rail.001,209,Fuel rail.001,fuel,False,"[0.600792407989502, 0.057546138763427734, 0.050000011920928955]","[0.699603796005249, 1.756226897239685, -0.29500001668930054]","[1.300396203994751, 1.8137730360031128, -0.24500000476837158]",143,240
Fuel tank,192,Cube.047,fuel,False,"[1.0, 0.30000001192092896, 1.100000023841858]","[-1.2799999713897705, 0.3699999749660492, -0.550000011920929]","[-0.2799999713897705, 0.6699999868869781, 0.550000011920929]",24,12
Label_2WD | V6 4.0L | VIN K | FLEX FUEL,11,Label_2WD | V6 4.0L | VIN K | FLEX FUEL,fuel,True,"[1.952829897403717, 0.1210119839289181, 0.04867776666945445]","[-0.976349949836731, 2.788327273939589, 1.5163660177652696]","[0.9764799475669861, 2.909339257868507, 1.565043784434724]",8266,13484
Steering wheel,102,Cylinder.047,steering,False,"[0.3799999952316284, 0.3799999952316284, 0.02500000037252903]","[0.6499999761581421, 1.60999995470047, 0.337499993853271]","[1.0299999713897705, 1.9899999499320984, 0.36249999422580004]",192,124
Brake disc,175,Cylinder.025,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[1.3699999451637268, 0.5400000214576721, -0.913400006480515]","[1.7299999594688416, 0.9000000357627869, -0.888400006107986]",192,124
Brake disc.001,187,Cylinder.001,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[-1.800000011920929, 0.5400000214576721, 0.888400006107986]","[-1.4399999976158142, 0.9000000357627869, 0.913400006480515]",192,124
Brake disc.002,183,Cylinder.009,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[-1.800000011920929, 0.5400000214576721, -0.913400006480515]","[-1.4399999976158142, 0.9000000357627869, -0.888400006107986]",192,124
Brake disc.003,179,Cylinder.017,suspension,False,"[0.36000001430511475, 0.36000001430511475, 0.02500000037252903]","[1.3699999451637268, 0.5400000214576721, 0.888400006107986]","[1.7299999594688416, 0.9000000357627869, 0.913400006480515]",192,124
Label_Rear axle / 2WD,8,Label_Rear axle / 2WD,suspension,True,"[0.7536537945270538, 0.07970531094296118, 0.035402949242279935]","[-1.9251199960708618, 0.8458205896524807, 0.9207073842731973]","[-1.171466201543808, 0.9255259005954419, 0.9561103335154773]",11389,19108
Rear axle housing,173,Cube.044,suspension,False,"[0.4000000059604645, 0.36000001430511475, 1.399999976158142]","[-1.8200000077486038, 0.48000001907348633, -0.699999988079071]","[-1.4200000017881393, 0.8400000333786011, 0.699999988079071]",24,12
Rear axle shaft,172,Rear axle shaft,suspension,False,"[0.1099998950958252, 0.16360777616500854, 0.4434906244277954]","[-1.6749999523162842, 0.6081961393356323, 0.22375470399856567]","[-1.565000057220459, 0.7718039155006409, 0.6672453284263611]",143,240
Rear axle shaft.001,171,Rear axle shaft.001,suspension,False,"[0.1100001335144043, 0.16360777616500854, 0.4434906244277954]","[-1.6750000715255737, 0.6081961393356323, -0.6672453284263611]","[-1.5649999380111694, 0.7718039155006409, -0.22375470399856567]",143,240
Shock absorber,169,Cylinder.042,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[-1.7236969338775057, 0.7038094261005106, 0.5650000050663948]","[-1.5163030756592375, 1.1961905500576315, 0.6750000044703484]",192,124
Shock absorber.001,168,Cylinder.043,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[-1.7236969338775057, 0.7038094261005106, -0.6750000044703484]","[-1.5163030756592375, 1.1961905500576315, -0.5650000050663948]",192,124
Shock absorber.002,166,Cylinder.044,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[1.44630302320715, 0.7038094261005106, 0.5650000050663948]","[1.6536968814254183, 1.1961905500576315, 0.6750000044703484]",192,124
Shock absorber.003,165,Cylinder.045,suspension,False,"[0.20739385821826817, 0.49238112395712097, 0.10999999940395355]","[1.44630302320715, 0.7038094261005106, -0.6750000044703484]","[1.6536968814254183, 1.1961905500576315, -0.5650000050663948]",192,124
Suspension control arm,170,Cube.045,suspension,False,"[0.20000000298023224, 0.14000000059604645, 1.2999999523162842]","[-1.7200000062584877, 0.48000001162290573, -0.6499999761581421]","[-1.5200000032782555, 0.6200000122189522, 0.6499999761581421]",24,12
Suspension control arm.001,167,Cube.046,suspension,False,"[0.20000000298023224, 0.14000000059604645, 1.2999999523162842]","[1.449999950826168, 0.48000001162290573, -0.6499999761581421]","[1.6499999538064003, 0.6200000122189522, 0.6499999761581421]",24,12
Wheel hub,186,Cylinder.002,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[-1.6850000023841858, 0.6550000309944153, 0.8440999835729599]","[-1.5550000071525574, 0.7850000262260437, 0.9940999895334244]",192,124
Wheel hub.001,182,Cylinder.010,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[-1.6850000023841858, 0.6550000309944153, -0.9940999895334244]","[-1.5550000071525574, 0.7850000262260437, -0.8440999835729599]",192,124
Wheel hub.002,178,Cylinder.018,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[1.48499995470047, 0.6550000309944153, 0.8440999835729599]","[1.6149999499320984, 0.7850000262260437, 0.9940999895334244]",192,124
Wheel hub.003,174,Cylinder.026,suspension,False,"[0.12999999523162842, 0.12999999523162842, 0.15000000596046448]","[1.48499995470047, 0.6550000309944153, -0.9940999895334244]","[1.6149999499320984, 0.7850000262260437, -0.8440999835729599]",192,124
4WD transfer case,202,Cube,transmission,False,"[0.47999998927116394, 0.47999998927116394, 0.6000000238418579]","[-0.7199999839067459, 0.7400000244379044, -0.30000001192092896]","[-0.23999999463558197, 1.2200000137090683, 0.30000001192092896]",24,12
5R55E automatic transmission,205,Cube.043,transmission,False,"[1.100000023841858, 0.6000000238418579, 0.699999988079071]","[-0.43000001460313797, 0.6800000071525574, -0.3499999940395355]","[0.6700000092387199, 1.2800000309944153, 0.3499999940395355]",24,12
Label_4WD transfer case,3,Label_4WD transfer case,transmission,True,"[0.8489302396774292, 0.0771292270303745, 0.031514613016437654]","[-0.905655026435852, 1.297130445289761, 0.9926445606963881]","[-0.05672478675842285, 1.3742596723201355, 1.0241591737128257]",18169,30660
Label_5R55E automatic transmission,9,Label_5R55E automatic transmission,transmission,True,"[1.3373099565505981, 0.07876504256647743, 0.03509715819084769]","[-0.5692599639296532, 1.175819239663805, 0.9210133097606064]","[0.768049992620945, 1.2545842822302824, 0.956110467951454]",32954,55660
Transfer case crossmember,190,Cube.064,transmission,False,"[0.23999999463558197, 0.11999999731779099, 1.2799999713897705]","[-0.619999997317791, 0.4800000227987766, -0.6399999856948853]","[-0.380000002682209, 0.6000000201165676, 0.6399999856948853]",24,12
Transmission output,204,Cylinder.041,transmission,False,"[0.30000001192092896, 0.18000000715255737, 0.18000000715255737]","[-0.6500000059604645, 0.8900000154972076, -0.09000000357627869]","[-0.3499999940395355, 1.070000022649765, 0.09000000357627869]",192,124
ABS harness,154,ABS harness,wiring,False,"[1.7622108459472656, 0.29562538862228394, 0.21277713775634766]","[-0.2018885612487793, 0.6026340126991272, 0.6619690656661987]","[1.5603222846984863, 0.8982594013214111, 0.8747462034225464]",407,720
ABS harness connector,152,Cube.056,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[-0.24500000476837158, 0.58500000461936, 0.6850000284612179]","[-0.1550000011920929, 0.6550000049173832, 0.7550000287592411]",24,12
ABS harness connector.001,153,Cube.055,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[1.5049999505281448, 0.8150000236928463, 0.8250000141561031]","[1.5949999541044235, 0.8850000239908695, 0.8950000144541264]",24,12
Body harness,151,Body harness,wiring,False,"[2.206534504890442, 0.21679973602294922, 0.03600000590085983]","[-1.2525393962860107, 1.7130703926086426, -0.018000002950429916]","[0.9539951086044312, 1.9298701286315918, 0.018000002950429916]",407,720
Body harness connector,149,Cube.058,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[-1.2950000017881393, 1.6950000189244747, -0.03500000014901161]","[-1.2049999982118607, 1.765000019222498, 0.03500000014901161]",24,12
Body harness connector.001,150,Cube.057,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[0.9049999862909317, 1.744999971240759, -0.03500000014901161]","[0.9949999898672104, 1.8149999715387821, 0.03500000014901161]",24,12
Engine harness,157,Engine harness,wiring,False,"[1.1144282817840576, 0.2943854331970215, 0.173366516828537]","[0.6906224489212036, 1.5029932260513306, 0.4031263291835785]","[1.8050507307052612, 1.797378659248352, 0.5764928460121155]",407,720
Engine harness connector,156,Cube.053,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[0.6549999862909317, 1.5650000236928463, 0.38499998673796654]","[0.7449999898672104, 1.6350000239908695, 0.45499998703598976]",24,12
Engine harness connector.001,155,Cube.054,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[1.7549999505281448, 1.484999980777502, 0.41499998793005943]","[1.8449999541044235, 1.5549999810755253, 0.48499998822808266]",24,12
Label_Body harness,7,Label_Body harness,wiring,True,"[0.5867834985256195, 0.1018821324806578, 0.042609032696060645]","[-0.29146504402160645, 1.9227022498854276, 0.9210133097606064]","[0.29531845450401306, 2.0245843823660854, 0.963622342456667]",14176,23932
Rear lamp harness,148,Rear lamp harness,wiring,False,"[1.2142813205718994, 0.54194176197052, 0.16187018156051636]","[-2.1570608615875244, 0.8240630626678467, -0.7442197799682617]","[-0.942779541015625, 1.3660048246383667, -0.5823495984077454]",275,480
Rear lamp harness connector,147,Cube.059,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[-0.9949999898672104, 0.8049999736249447, -0.6350000239908695]","[-0.9049999862909317, 0.8749999739229679, -0.5650000236928463]",24,12
Rear lamp harness connector.001,146,Cube.060,wiring,False,"[0.09000000357627869, 0.07000000029802322, 0.07000000029802322]","[-2.195000097155571, 1.3150000236928463, -0.7349999882280827]","[-2.1050000935792923, 1.3850000239908695, -0.6649999879300594]",24,12
